event_id,customer_id,amount,event_type,bank,error_code,product_id,payment_method,intervention,recovered
E00001,C0072,4994.15,PAYMENT_FAILED,Bank_A,E42,P007,CARD,RETRY_PAYMENT,0
E00001,C0072,4994.15,PAYMENT_FAILED,Bank_A,E42,P007,CARD,SEND_REMINDER,1
E00001,C0072,4994.15,PAYMENT_FAILED,Bank_A,E42,P007,CARD,ALTERNATE_PAYMENT,1
E00002,C0872,8675.86,INVOICE_OVERDUE,Bank_A,E42,P003,CARD,RETRY_PAYMENT,0
E00002,C0872,8675.86,INVOICE_OVERDUE,Bank_A,E42,P003,CARD,SEND_REMINDER,1
E00002,C0872,8675.86,INVOICE_OVERDUE,Bank_A,E42,P003,CARD,ALTERNATE_PAYMENT,1
E00003,C0192,5702.31,CHECKOUT_ABANDONED,Bank_D,E42,P001,WALLET,RETRY_PAYMENT,0
E00003,C0192,5702.31,CHECKOUT_ABANDONED,Bank_D,E42,P001,WALLET,SEND_REMINDER,0
E00003,C0192,5702.31,CHECKOUT_ABANDONED,Bank_D,E42,P001,WALLET,ALTERNATE_PAYMENT,1
E00004,C0059,7635.11,PAYMENT_FAILED,Bank_A,E42,P010,WALLET,RETRY_PAYMENT,0
E00004,C0059,7635.11,PAYMENT_FAILED,Bank_A,E42,P010,WALLET,SEND_REMINDER,1
E00004,C0059,7635.11,PAYMENT_FAILED,Bank_A,E42,P010,WALLET,ALTERNATE_PAYMENT,1
E00005,C0958,2719.86,CHECKOUT_ABANDONED,Bank_D,E23,P019,WALLET,RETRY_PAYMENT,1
E00005,C0958,2719.86,CHECKOUT_ABANDONED,Bank_D,E23,P019,WALLET,SEND_REMINDER,0
E00005,C0958,2719.86,CHECKOUT_ABANDONED,Bank_D,E23,P019,WALLET,ALTERNATE_PAYMENT,1
E00006,C0647,21568.54,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,RETRY_PAYMENT,0
E00006,C0647,21568.54,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,SEND_REMINDER,1
